DB_VALUE,TYPE,UNSANITIZED_INSERTS
users.username,VARCHAR,createUser.php|changeUsername.php|editUser.php
users.user_id,INT,
users.password,VARCHAR,
users.email,VARCHAR,createUser.php
users.bio,TEXT,changeBio.php|editUser.php
orders.grand_total,VARCHAR,createOrder.php
orders.order_date,DATE,
orders.client_name,VARCHAR,createOrder.php|editOrder.php
orders.client_contact,VARCHAR,createOrder.php|editOrder.php
orders.sub_total,VARCHAR,createOrder.php|editOrder.php
orders.discount,VARCHAR,createOrder.php|editOrder.php
orders.total_amount,VARCHAR,createOrder.php|editOrder.php
orders.vat,VARCHAR,createOrder.php|editOrder.php
orders.gstn,VARCHAR,createOrder.php|editOrder.php
orders.paid,VARCHAR,createOrder.php|editOrder.php
orders.due,VARCHAR,createOrder.php|editOrder.php
product.product_name,VARCHAR,createProduct.php|editProduct.php
product.product_id,INT,
product.product_image,VARCHAR,
product.brand_id,INT,
product.categories_id,INT,
product.quantity,VARCHAR,createProduct.php|editProduct.php
product.rate,VARCHAR,createProduct.php|editProduct.php
product.active,INT,
product.status,INT,
brands.brand_id,INT,
brands.brand_name,VARCHAR,createBrand.php|editBrand.php
brands.brand_active,INT,
brands.brand_status,INT,
categories.categories_id,INT,
categories.categories_name,VARCHAR,createCategories.php|editCategories.php
categories.categories_active,INT,
categories.categories_status,INT,
order_item.rate,VARCHAR,createProduct.php|editOrder.php
order_item.quantity,VARCHAR,createProduct.php|editOrder.php
order_item.total,VARCHAR,createProduct.php|editOrder.php

